"d_reg","n"
2017-12-20,5752
2017-12-21,5794
2017-12-22,5965
2017-12-23,5629
2017-12-24,77
2017-12-25,1
2017-12-26,6722
2017-12-27,7163
2017-12-28,7062
2017-12-29,5739
2017-12-30,160
2018-01-03,7329
2018-01-04,6095
2018-01-05,5473
2018-01-06,2937
2018-01-09,1
2018-01-10,6829
2018-01-11,6033
2018-01-12,5640
2018-01-13,4835
2018-01-14,6
2018-01-15,5
2018-01-16,6357
2018-01-17,5456
2018-01-18,4810
2018-01-19,3892
2018-01-20,4269
2018-01-21,7
2018-01-23,6179
2018-01-24,5249
2018-01-25,5016
2018-01-26,4884
2018-01-27,4981
2018-01-28,12
2018-01-29,1
2018-01-30,6985
2018-01-31,5779
2018-02-01,5467
2018-02-02,5425
2018-02-03,4105
2018-02-04,10
2018-02-05,2
2018-02-06,7372
2018-02-07,6116
2018-02-08,6025
2018-02-09,5611
2018-02-10,5475
2018-02-11,78
2018-02-13,6896
2018-02-14,5975
2018-02-15,5595
2018-02-16,5449
2018-02-17,5396
2018-02-18,6
2018-02-19,1
2018-02-20,7221
2018-02-21,6105
2018-02-22,5940
2018-02-23,5711
2018-02-24,4686
2018-02-25,94
2018-02-27,6750
2018-02-28,5078
2018-03-01,3698
2018-03-02,4215
2018-03-03,4183
2018-03-04,65
2018-03-05,12
2018-03-06,1114
